,latitude,longitude,name
28272,20.1333,92.8833,Sittwe
28281,18.1667,100.1667,Phrae
28283,17.95,102.5667,Vientiane
28301,18.1833,120.5333,Laoag
28312,25.8333,131.2333,Minamidaitojima
28360,28.2167,-177.3667,"Sand Island, Henderson Field Airport"
28437,19.2667,-103.5833,Colima
28442,19.05,-98.1667,"Puebla, Pue."
28450,19.85,-90.55,"Campeche, Camp."
28451,18.4833,-88.3,"Chetumal, Q. Roo"
28475,18.3333,-64.9833,C. Amalie / St. Thomas Airport
28520,20.9333,-17.0333,Nouadhibou
28613,19.1167,72.85,Bombay / Santacruz
28637,19.3,97.8333,Mae Hong Son
28642,19.2333,101.7333,Sayaboury
28661,18.3667,121.6333,Aparri
28669,24.7833,125.2833,Miyakojima
28799,20.6,-100.3833,"Queretaro, Qro."
28801,20.0833,-98.3667,Tulancingo
28886,20.5167,-13.0667,Atar
28999,19.9167,99.8333,Chiang Rai
29001,19.8833,102.1333,Luang-Prabang
29009,20.0333,110.35,Haikou
29101,21.15,-157.1,"Kaunakakai, Molokai Airport"
29151,21.5167,-104.9,"Tepic, Nay."
29160,20.95,-97.4,Tuxpan. Ver.
29268,24.55,9.4667,Djanet
29337,21.1,79.05,Nagpur Sonegaon
29371,22.1667,113.5667,Taipa
29379,20.8,121.85,Itbayat
29458,21.9833,-159.3333,Lihue Airport
29515,21.8833,-102.3,"Aguascalientes, Ags."
29516,22.15,-100.9833,"San Luis Potosi, S. L. P."
29655,21.7,39.1833,Jeddah King Abdul Aziz International Airport
29688,22.3,70.7833,Rajkot
29689,21.75,72.2,Bhaunagar
29693,21.8333,76.3667,Khandwa
29711,21.9833,96.1,Mandalay
29970,27.6667,-8.1333,Tindouf
29997,24.2167,23.3,Kufra
30009,23.9667,32.7833,Asswan
30014,24.15,38.0667,Yenbo
30038,25.0667,61.8,Jiwani
30049,23.0667,72.6333,Ahmadabad
30053,23.2833,77.35,Bhopal / Bairagarh
30056,23.2,79.95,Jabalpur
30061,23.3167,85.3167,M. O. Ranchi
30084,22.8167,108.35,Nanning
30089,23.1667,113.3333,Guangzhou
30093,23.4,116.6833,Shantou
30227,24.8167,-107.4,"Culiacan, Sin."
30254,24.55,-81.1,Key West Airport
30257,25.05,-77.4667,Nassau Airport
30311,27.8167,-17.8833,Hierro / Aeropuerto
30350,27.0167,14.45,Sebha
30374,24.55,39.7,Madinah
30405,23.25,69.6667,Bhuj-Rudramata
30426,23.8833,91.25,Agartala
30427,24.3167,92.0,Kailashahar
30429,24.7667,93.9,Imphal Tulihal
30453,24.4833,118.0833,Xiamen
30590,25.5333,-103.45,"Torreon, Coah."
30701,26.5,8.4167,Illizi
30730,26.2,36.4667,Wejh
30736,26.3,43.7667,Gassim
